路線方向,路段,週六,週日,週2-4
國1南向路段,基隆端-基隆,34234,31583,29362
國1南向路段,基隆-八堵,32736,30700,28272
國1南向路段,八堵-大華系統,42762,42035,36507
國1南向路段,大華系統-五堵,68772,68514,58132
國1南向路段,五堵-汐止及系統,70825,69579,60615
國1南向路段,汐止及系統-東湖,51200,48226,48731
國1南向路段,東湖-內湖,70462,65047,67712
國1南向路段,內湖-圓山,57518,52363,58568
國1南向路段,圓山-台北,108664,98462,109032
國1南向路段,台北-三重,92988,83892,93640
國1南向路段,三重-五股,86212,77806,83979
國1南向路段,五股-高公局,145808,131707,141306
國1南向路段,高公局-林口(文化一路),104711,95048,107792
國1南向路段,林口(文化一路)-林口(文化北路),61614,56254,57527
國1南向路段,林口(文化北路)-桃園,96323,85382,98667
國1南向路段,桃園-機場系統,94559,82763,95499
國1南向路段,機場系統-中壢服務區,82756,72882,84318
國1南向路段,中壢服務區-內壢,83813,73587,83824
國1南向路段,內壢-中壢,75626,64910,75409
國1南向路段,中壢-平鎮系統,75359,66264,71391
國1南向路段,平鎮系統-幼獅,67455,59764,63791
國1南向路段,幼獅-楊梅,64459,57211,59167
國1南向路段,楊梅-楊梅端,45322,40267,38525
國1南向路段,楊梅端-湖口,85275,75192,69804
國1南向路段,湖口-竹北,89947,79447,77378
國1南向路段,竹北-新竹(公道五路),92333,79082,82561
國1南向路段,新竹(公道五路)-新竹(園區二路),63935,50314,45155
國1南向路段,新竹(園區二路)-新竹系統,88797,69391,70539
國1南向路段,新竹系統-頭份,74951,59243,49877
國1南向路段,頭份-頭屋,66152,52323,40335
國1南向路段,頭屋-苗栗,60541,47995,35923
國1南向路段,苗栗-銅鑼,61136,50386,38159
國1南向路段,銅鑼-三義,62109,52172,39157
國1南向路段,三義-后里,60973,52259,38368
國1南向路段,后里-台中系統,69088,59466,47439
國1南向路段,台中系統-豐原,91931,81645,72688
國1南向路段,豐原-大雅,92169,81163,75066
國1南向路段,大雅-台中,74325,63200,62438
