路線方向,路段,交流道,進出口,週六,週日,週2-4
國1南向,非主線資料,基隆端,進口,33492,31048,28722
國1南向,非主線資料,基隆,"進口1-尚仁路,基隆",1987,1796,2353
國1南向,非主線資料,基隆,"進口2-麥金路,金山",5477,4949,5349
國1南向,非主線資料,基隆,出口,9059,7801,9400
國1南向,非主線資料,八堵,進口,9965,11293,7656
國1南向,非主線資料,大華系統,進口,26113,25229,21131
國1南向,非主線資料,五堵,進口,8609,7638,10059
國1南向,非主線資料,五堵,出口,6461,7141,7863
國1南向,非主線資料,汐止及汐止系統,進口1-國3北+汐止,26052,24398,27868
國1南向,非主線資料,汐止及汐止系統,進口2-國3南,8969,10975,9909
國1南向,非主線資料,汐止及汐止系統,出口,22456,21775,18553
國1南向,非主線資料,高架汐止端,出口,32620,33496,29972
國1南向,非主線資料,東湖,進口,19216,17157,19202
國1南向,非主線資料,內湖,進口,16884,13950,20479
國1南向,非主線資料,內湖,出口1-南京,20409,18171,18912
國1南向,非主線資料,內湖,出口2-成功,8518,7482,9228
國1南向,非主線資料,圓山,進口,67321,60716,66962
國1南向,非主線資料,圓山,出口,16322,14140,15938
國1南向,非主線資料,台北,進口,22634,20197,22171
國1南向,非主線資料,台北,出口1-士林,31882,29831,32186
國1南向,非主線資料,台北,出口2-台北市區,5944,5274,5966
國1南向,非主線資料,三重,進口,15607,14257,13415
國1南向,非主線資料,三重,出口,21522,19558,21544
國1南向,非主線資料,五股及五股轉接道,進口1-高架,46418,43556,49255
國1南向,非主線資料,五股及五股轉接道,進口2-新五路台64,54576,47942,52714
國1南向,非主線資料,五股及五股轉接道,出口,42146,37149,45295
國1南向,非主線資料,泰山轉接道,出口,39766,37036,33411
國1南向,非主線資料,林口,進口1-文化一路,15465,13822,18941
國1南向,非主線資料,林口,進口2-文化北路,19998,16096,23776
國1南向,非主線資料,林口,出口1-文化一路,30320,28146,31312
國1南向,非主線資料,林口,出口2-文化北路,13710,11518,18915
國1南向,非主線資料,桃園,進口,32409,28156,33093
國1南向,非主線資料,桃園,出口,34668,30988,38123
