路線方向,路段,交流道,進出口,週六,週日,週2-4
國1南向路段,基隆端-基隆,非匝道資料,非匝道資料,32387,30503,28169
國1南向路段,基隆-八堵,非匝道資料,非匝道資料,30678,29270,26489
國1南向路段,八堵-大華系統,非匝道資料,非匝道資料,41074,40425,33815
國1南向路段,大華系統-五堵,非匝道資料,非匝道資料,67336,66033,54588
國1南向路段,五堵-汐止及系統,非匝道資料,非匝道資料,69472,67300,57403
國1南向路段,汐止及系統-東湖,非匝道資料,非匝道資料,49299,47382,46221
國1南向路段,東湖-內湖,非匝道資料,非匝道資料,67746,63816,64801
國1南向路段,內湖-圓山,非匝道資料,非匝道資料,55771,51135,57513
國1南向路段,圓山-台北,非匝道資料,非匝道資料,100995,91936,104570
國1南向路段,台北-三重,非匝道資料,非匝道資料,84965,76394,88703
國1南向路段,三重-五股,非匝道資料,非匝道資料,78645,70243,80047
國1南向路段,五股-高公局,非匝道資料,非匝道資料,133801,122056,133991
國1南向路段,高公局-林口(文化一路),非匝道資料,非匝道資料,101977,93900,107480
國1南向路段,林口(文化一路)-林口(文化北路),非匝道資料,非匝道資料,58430,53949,56674
國1南向路段,林口(文化北路)-桃園,非匝道資料,非匝道資料,91208,81679,98002
國1南向路段,桃園-機場系統,非匝道資料,非匝道資料,89903,79076,94116
國1南向路段,機場系統-中壢服務區,非匝道資料,非匝道資料,79331,69777,82022
國1南向路段,中壢服務區-內壢,非匝道資料,非匝道資料,80412,70680,82014
國1南向路段,內壢-中壢,非匝道資料,非匝道資料,72638,62893,74082
國1南向路段,中壢-平鎮系統,非匝道資料,非匝道資料,71903,63229,69228
國1南向路段,平鎮系統-幼獅,非匝道資料,非匝道資料,64203,57684,61390
國1南向路段,幼獅-楊梅,非匝道資料,非匝道資料,59795,54213,54997
國1南向路段,楊梅-楊梅端,非匝道資料,非匝道資料,42662,38688,36796
國1南向路段,楊梅端-湖口,非匝道資料,非匝道資料,78023,70202,64600
國1南向路段,湖口-竹北,非匝道資料,非匝道資料,82605,74654,72794
國1南向路段,竹北-新竹(公道五路),非匝道資料,非匝道資料,85085,73944,77776
國1南向路段,新竹(公道五路)-新竹(園區二路),非匝道資料,非匝道資料,58091,46372,41683
國1南向路段,新竹(園區二路)-新竹系統,非匝道資料,非匝道資料,83368,66095,67882
國1南向路段,新竹系統-頭份,非匝道資料,非匝道資料,70732,55535,48217
國1南向路段,頭份-頭屋,非匝道資料,非匝道資料,62118,49295,38161
國1南向路段,頭屋-苗栗,非匝道資料,非匝道資料,56589,45020,33957
國1南向路段,苗栗-銅鑼,非匝道資料,非匝道資料,57217,47522,36104
國1南向路段,銅鑼-三義,非匝道資料,非匝道資料,58372,49651,37113
國1南向路段,三義-后里,非匝道資料,非匝道資料,56887,49823,36158
國1南向路段,后里-台中系統,非匝道資料,非匝道資料,64637,56911,45130
國1南向路段,台中系統-豐原,非匝道資料,非匝道資料,86288,76794,68209
國1南向路段,豐原-大雅,非匝道資料,非匝道資料,86768,76705,72416
國1南向路段,大雅-台中,非匝道資料,非匝道資料,68009,58806,59474
國1南向路段,台中-南屯,非匝道資料,非匝道資料,63821,55442,53084
國1南向路段,南屯-王田,非匝道資料,非匝道資料,61096,52396,49767
國1南向路段,王田-彰化系統,非匝道資料,非匝道資料,60362,52175,47529
國1南向路段,彰化系統-彰化,非匝道資料,非匝道資料,88006,76889,71014
國1南向路段,彰化-埔鹽系統,非匝道資料,非匝道資料,79152,69814,63110
國1南向路段,埔鹽系統-員林,非匝道資料,非匝道資料,75103,66543,58033
國1南向路段,員林-北斗,非匝道資料,非匝道資料,66416,58536,49362
國1南向路段,北斗-西螺,非匝道資料,非匝道資料,59378,52734,42134
國1南向路段,西螺-虎尾,非匝道資料,非匝道資料,59543,53801,42841
國1南向路段,虎尾-斗南,非匝道資料,非匝道資料,57767,52568,41382
國1南向路段,斗南-雲林系統,非匝道資料,非匝道資料,57328,52470,42411
國1南向路段,雲林系統-大林,非匝道資料,非匝道資料,53587,49884,40946
國1南向路段,大林-民雄,非匝道資料,非匝道資料,52853,49255,40852
國1南向路段,民雄-嘉義,非匝道資料,非匝道資料,50619,47435,39922
國1南向路段,嘉義-水上,非匝道資料,非匝道資料,47290,45624,36919
國1南向路段,水上-嘉義系統,非匝道資料,非匝道資料,46036,44750,35641
國1南向路段,嘉義系統-新營服務區,非匝道資料,非匝道資料,45686,46060,35233
國1南向路段,新營服務區-新營,非匝道資料,非匝道資料,45153,45464,34784
國1南向路段,新營-下營系統,非匝道資料,非匝道資料,50966,51295,41828
國1南向路段,下營系統-麻豆,非匝道資料,非匝道資料,56226,56090,46172
國1南向路段,麻豆-安定,非匝道資料,非匝道資料,59080,58364,49983
國1南向路段,安定-台南系統,非匝道資料,非匝道資料,60369,58411,51903
國1南向路段,台南系統-永康,非匝道資料,非匝道資料,74327,72097,67459
國1南向路段,永康-大灣,非匝道資料,非匝道資料,72283,68845,69718
國1南向路段,大灣-台南,非匝道資料,非匝道資料,56794,54274,54935
國1南向路段,台南-仁德系統,非匝道資料,非匝道資料,66285,63913,62335
國1南向路段,仁德系統-路竹,非匝道資料,非匝道資料,66913,65316,62087
