路線方向,路段,交流道,進出口,週六,週日,週2-4 
國1南向路段,基隆端-基隆,非匝道資料,非匝道資料,30740,28474,26855
國1南向路段,基隆-八堵,非匝道資料,非匝道資料,28941,27330,24936
國1南向路段,八堵-大華系統,非匝道資料,非匝道資料,37881,36977,32248
國1南向路段,大華系統-五堵,非匝道資料,非匝道資料,61455,60585,52703
國1南向路段,五堵-汐止及汐止系統,非匝道資料,非匝道資料,63093,61293,54293
國1南向路段,汐止及汐止系統-東湖,非匝道資料,非匝道資料,46208,44549,44095
國1南向路段,東湖-內湖,非匝道資料,非匝道資料,65149,61771,62394
國1南向路段,內湖-圓山,非匝道資料,非匝道資料,54611,52046,56814
國1南向路段,圓山-台北,非匝道資料,非匝道資料,101154,95793,104378
國1南向路段,台北-三重,非匝道資料,非匝道資料,88693,82513,91515
國1南向路段,三重-五股,非匝道資料,非匝道資料,83712,77661,84259
國1南向路段,五股-高公局,非匝道資料,非匝道資料,140736,132038,139548
國1南向路段,高公局-林口(文化一路),非匝道資料,非匝道資料,140668,132016,139037
國1南向路段,林口(文化一路)-林口(文化北路),非匝道資料,非匝道資料,61124,56557,57310
國1南向路段,林口(文化北路)-桃園(49A),非匝道資料,非匝道資料,96088,86598,100099
國1南向路段,桃園(49A)-桃園(49B),非匝道資料,非匝道資料,60216,54469,60474
國1南向路段,桃園(49B)-機場系統,非匝道資料,非匝道資料,95024,86159,97911
國1南向路段,機場系統-中壢服務區,非匝道資料,非匝道資料,79847,73725,81806
國1南向路段,中壢服務區-內壢,非匝道資料,非匝道資料,80452,74487,81435
國1南向路段,內壢-中壢,非匝道資料,非匝道資料,72914,66278,74258
國1南向路段,中壢-平鎮系統,非匝道資料,非匝道資料,74169,68405,72077
國1南向路段,平鎮系統-幼獅,非匝道資料,非匝道資料,65532,62362,64057
國1南向路段,幼獅-楊梅,非匝道資料,非匝道資料,61597,58984,57844
國1南向路段,楊梅-楊梅端,非匝道資料,非匝道資料,43731,43270,39922
國1南向路段,高架楊梅端-湖口,非匝道資料,非匝道資料,79378,77051,70115
國1南向路段,湖口-竹北,非匝道資料,非匝道資料,82907,81235,77881
國1南向路段,竹北-新竹(公道五路),非匝道資料,非匝道資料,85194,80101,82014
國1南向路段,新竹(公道五路)-新竹(園區二路),非匝道資料,非匝道資料,59290,51889,45793
國1南向路段,新竹(園區二路)-新竹系統,非匝道資料,非匝道資料,85138,72695,74290
國1南向路段,新竹系統-頭份,非匝道資料,非匝道資料,73839,61669,53560
國1南向路段,頭份-頭屋,非匝道資料,非匝道資料,65642,55436,43220
國1南向路段,頭屋-苗栗,非匝道資料,非匝道資料,59997,51064,38894
