路線方向,路段,交流道,進出口,週六,週日,週2-4
國1南向路段,非主線資料,基隆,出口,8241,6678,8627
國1南向路段,非主線資料,五堵,出口,5623,5130,7190
國1南向路段,非主線資料,汐止及汐止系統,出口,35066,34553,29726
國1南向路段,非主線資料,內湖,出口,25746,22457,24356
國1南向路段,非主線資料,圓山,出口,13618,12427,13058
國1南向路段,非主線資料,台北,出口,33250,31725,33721
國1南向路段,非主線資料,三重,出口,18370,16986,18606
國1南向路段,非主線資料,五股,出口,18546,16568,21242
國1南向路段,非主線資料,高公局,出口,344,276,878
國1南向路段,非主線資料,泰山轉接道,出口,35790,34055,31171
國1南向路段,非主線資料,林口,出口,43767,41422,50625
國1南向路段,非主線資料,桃園,出口,35902,32153,39658
國1南向路段,非主線資料,機場系統,出口,37959,34723,40028
國1南向路段,非主線資料,中壢服務區,出口,2761,2112,4258
國1南向路段,非主線資料,內壢,出口,25717,24276,27194
國1南向路段,非主線資料,中壢轉接道,出口,14652,12753,15443
國1南向路段,非主線資料,中壢,出口,12484,11789,13682
國1南向路段,非主線資料,平鎮系統,出口,25102,22272,26890
國1南向路段,非主線資料,幼獅,出口,6800,5745,10742
國1南向路段,非主線資料,楊梅,出口,22605,20262,24500
國1南向路段,非主線資料,湖口,出口,10382,9287,13038
國1南向路段,非主線資料,竹北,出口,15402,16346,17890
國1南向路段,非主線資料,新竹,出口,25939,28223,36237
國1南向路段,非主線資料,新竹系統,出口,32485,28605,34135
國1南向路段,非主線資料,頭份,出口,15376,13343,16496
國1南向路段,非主線資料,頭屋,出口,6716,5491,5265
國1南向路段,非主線資料,苗栗,出口,5958,4552,3607
國1南向路段,非主線資料,銅鑼,出口,2926,2844,2832
國1南向路段,非主線資料,三義,出口,5145,5228,4234
國1南向路段,非主線資料,后里,出口,3197,3999,2120
國1南向路段,非主線資料,台中系統,出口,6666,6123,5211
國1南向路段,非主線資料,豐原,出口,12142,10554,12035
國1南向路段,非主線資料,大雅,出口,26139,24166,22983
國1南向路段,非主線資料,台中,出口,22258,20653,22592
國1南向路段,非主線資料,南屯,出口,16328,15326,16020
國1南向路段,非主線資料,王田,出口,8545,7558,10933
國1南向路段,非主線資料,彰化系統,出口,5577,4058,5561
國1南向路段,非主線資料,彰化,出口,22911,20870,22387
國1南向路段,非主線資料,埔鹽系統,出口,14674,13572,14703
國1南向路段,非主線資料,員林,出口,12801,11058,12579
國1南向路段,非主線資料,北斗,出口,10730,9943,11049
國1南向路段,非主線資料,西螺,出口,5193,4121,4482
國1南向路段,非主線資料,虎尾,出口,4674,4558,4447
國1南向路段,非主線資料,斗南,出口,6039,5047,5083
國1南向路段,非主線資料,雲林系統,出口,13102,11421,9784
國1南向路段,非主線資料,大林,出口,3890,3537,3339
國1南向路段,非主線資料,民雄,出口,7539,7563,6193
國1南向路段,非主線資料,嘉義,出口,11136,9995,9986
國1南向路段,非主線資料,水上,出口,3171,2793,2981
國1南向路段,非主線資料,嘉義系統,出口,8342,7401,7177
國1南向路段,非主線資料,新營服務區,出口,1776,1877,1697
國1南向路段,非主線資料,新營,出口,5176,4840,4296
國1南向路段,非主線資料,下營系統,出口,4463,5012,3751
國1南向路段,非主線資料,麻豆,出口,5877,5957,5205
國1南向路段,非主線資料,安定,出口,4048,4389,6046
國1南向路段,非主線資料,台南系統,出口,9736,8854,9243
國1南向路段,非主線資料,永康,出口,17271,17213,15193
國1南向路段,非主線資料,大灣,出口,15527,14982,15053
國1南向路段,非主線資料,仁德,出口,11891,10688,12217
國1南向路段,非主線資料,仁德系統,出口,18037,17431,17952
國1南向路段,非主線資料,路竹,出口,6017,5985,5719
國1南向路段,非主線資料,高科,出口,5896,4970,9659
國1南向路段,非主線資料,岡山,出口,6120,6288,6738
國1南向路段,非主線資料,楠梓,出口,15471,14791,17569
國1南向路段,非主線資料,鼎金系統,出口,26773,25388,25834
國1南向路段,非主線資料,高雄,出口,52708,50727,48979
國1南向路段,非主線資料,瑞隆路出口匝道,出口,15180,13943,12387
國1南向路段,非主線資料,五甲系統,出口,44950,42273,43668
國1南向路段,非主線資料,五甲,出口,4934,4079,5582
國1南向路段,非主線資料,中山四路,出口,23176,22567,22476
國1南向路段,非主線資料,漁港路,出口,2954,1180,4742
國1南向路段,非主線資料,高港高架,出口,5669,5360,8728
國3南向路段,非主線資料,瑪東系統,出口,3058,2747,4150
國3南向路段,非主線資料,汐止系統,出口,11039,12312,12716
國3南向路段,非主線資料,新台五路,出口,8696,8032,12415
國3南向路段,非主線資料,南港,出口,4626,4535,6493
國3南向路段,非主線資料,南港系統,出口,19964,18833,16975
國3南向路段,非主線資料,木柵,出口,17555,17078,19596
國3南向路段,非主線資料,新店,出口,9920,9393,11911
國3南向路段,非主線資料,安坑,出口,9443,8829,11258
國3南向路段,非主線資料,中和,出口,22304,20866,23877
國3南向路段,非主線資料,土城,出口,15100,12371,19614
國3南向路段,非主線資料,樹林,出口,14849,13102,16053
國3南向路段,非主線資料,三鶯,出口,13078,13669,14489
國3南向路段,非主線資料,鶯歌系統,出口,34627,34291,39075
國3南向路段,非主線資料,大溪,出口,22626,25288,26983
國3南向路段,非主線資料,龍潭,出口,11169,12383,13481
國3南向路段,非主線資料,高原,出口,5819,6536,6279
國3南向路段,非主線資料,關西服務區,出口,1195,1167,816
國3南向路段,非主線資料,關西,出口,4483,5333,3725
國3南向路段,非主線資料,竹林,出口,14222,14871,12150
國3南向路段,非主線資料,寶山,出口,3731,4062,5924
國3南向路段,非主線資料,新竹系統,出口,23517,19943,18215
國3南向路段,非主線資料,茄苳,出口,9203,9974,11577
國3南向路段,非主線資料,香山,出口,7262,6904,12792
國3南向路段,非主線資料,西濱,出口,7116,6130,7279
國3南向路段,非主線資料,竹南,出口,4295,3420,4412
國3南向路段,非主線資料,大山,出口,2944,2367,2835
國3南向路段,非主線資料,後龍,出口,4288,3579,3551
國3南向路段,非主線資料,西湖服務區,出口,457,425,407
國3南向路段,非主線資料,通霄,出口,4345,3446,3232
國3南向路段,非主線資料,苑裡,出口,3225,2930,2535
國3南向路段,非主線資料,大甲,出口,3529,3255,2847
國3南向路段,非主線資料,中港系統,出口,16098,15054,14373
國3南向路段,非主線資料,清水服務區,出口,1383,1418,831
國3南向路段,非主線資料,沙鹿,出口,8478,8411,8463
國3南向路段,非主線資料,龍井,出口,8722,8598,8993
國3南向路段,非主線資料,和美,出口,6213,5419,5875
國3南向路段,非主線資料,彰化系統,出口,24905,22599,19990
國3南向路段,非主線資料,快官,出口,14819,13026,13671
國3南向路段,非主線資料,烏日,出口,4110,3027,6657
國3南向路段,非主線資料,中投,出口,8427,6707,8548
國3南向路段,非主線資料,霧峰,出口,11915,11543,14704
國3南向路段,非主線資料,霧峰系統,出口,21924,19488,15721
國3南向路段,非主線資料,草屯,出口,6170,6169,7156
國3南向路段,非主線資料,中興系統,出口,13317,13641,12082
國3南向路段,非主線資料,中興,出口,8350,8448,10486
國3南向路段,非主線資料,南投,出口,9818,9611,11311
國3南向路段,非主線資料,南投服務區,出口,3429,2865,2322
國3南向路段,非主線資料,名間,出口,10920,8775,7732
國3南向路段,非主線資料,竹山,出口,10580,9603,7227
國3南向路段,非主線資料,南雲,出口,2751,2321,2046
國3南向路段,非主線資料,斗六,出口,5464,4764,4331
國3南向路段,非主線資料,古坑(北)&古坑系統,出口,8696,8274,5862
國3南向路段,非主線資料,古坑服務區,出口,382,464,283
國3南向路段,非主線資料,梅山,出口,3048,3128,2443
國3南向路段,非主線資料,竹崎,出口,7871,7636,6023
國3南向路段,非主線資料,中埔,出口,7440,7081,5226
國3南向路段,非主線資料,水上系統,出口,7807,7971,6589
國3南向路段,非主線資料,白河,出口,2843,3096,1821
國3南向路段,非主線資料,東山服務區,出口,569,808,365
國3南向路段,非主線資料,柳營,出口,1078,1232,866
國3南向路段,非主線資料,烏山頭,出口,1065,1269,962
國3南向路段,非主線資料,官田系統,出口,3634,4308,2523
國3南向路段,非主線資料,善化,出口,3637,4537,3642
國3南向路段,非主線資料,新化系統,出口,12772,15433,9236
國3南向路段,非主線資料,關廟,出口,9840,11120,9440
國3南向路段,非主線資料,關廟服務區,出口,318,262,328
國3南向路段,非主線資料,田寮,出口,3022,3826,1940
國3南向路段,非主線資料,燕巢系統,出口,16862,18926,12687
國3南向路段,非主線資料,九如,出口,8862,8624,7874
國3南向路段,非主線資料,屏東,出口,5460,5468,4948
國3南向路段,非主線資料,長治,出口,5274,4748,4073
國3南向路段,非主線資料,麟洛,出口,4673,4908,4266
國3南向路段,非主線資料,竹田系統,出口,9674,9125,9226
國3南向路段,非主線資料,崁頂,出口,4449,3610,4096
國3南向路段,非主線資料,南州,出口,16744,13632,10226
國3南向路段,非主線資料,大鵬灣端,出口,10454,8008,6276
國5南向路段,非主線資料,石碇,出口,2247,3322,2745
國5南向路段,非主線資料,坪林,出口,1928,2314,1589
國5南向路段,非主線資料,頭城,出口,11380,8756,7917
國5南向路段,非主線資料,宜蘭,出口,12228,9183,9791
國5南向路段,非主線資料,羅東,出口,17269,12087,12807
國5南向路段,非主線資料,蘇澳,出口,13626,10753,10904
國1高架南向路段,非主線資料,堤頂,出口,8940,8027,10748
國1高架南向路段,非主線資料,五股,出口,46660,43026,49646
國1高架南向路段,非主線資料,機場系統,出口,16258,15127,15965
國1高架南向路段,非主線資料,中壢轉接道,出口,20358,19393,19237
國1高架南向路段,非主線資料,楊梅端,出口,42121,39116,36443
國3甲東向路段,非主線資料,萬芳,出口,8522,7313,7618
國3甲東向路段,非主線資料,深坑端,出口,31251,27408,32994
國2東向路段,非主線資料,大園,出口,2374,2088,3271
國2東向路段,非主線資料,大竹,出口,5185,4501,6223
