路線方向,路段,週六,週日,週2.4
國1南向路段,五股-高公局,133505.4,120872.4,134957.2
國1南向路段,高公局-林口(文化一路),110885.6,100416,115916.4
國1南向路段,鼎金系統-高雄,110497.6,103067.2,110430.2
國3南向路段,土城-樹林,104517.2,98556.6,97157.4
國1南向路段,圓山-台北,99667.2,90335,104117.8
國3南向路段,三鶯-鶯歌系統,93950.8,89205.2,85709.6
國3南向路段,樹林-三鶯,89848,86259.2,81862.6
國1南向路段,彰化系統-彰化,86646.6,74509.4,70472.2
國1南向路段,楠梓(鳳楠路)-鼎金系統,86643.8,78599.8,85946.8
國1南向路段,台北-三重,85172,76349.6,89251
國1南向路段,豐原-大雅,84489.8,74176.8,72141.2
國1南向路段,台中系統-豐原,84391.2,74597.6,69427.4
國1南向路段,竹北-新竹(公道五路),84109,73121.6,78939.6
國3南向路段,中和-土城,83708.2,78442.2,80700.6
國1南向路段,新竹(園區二路)-新竹系統,82051.8,65340.2,69149.2
國3南向路段,霧峰-霧峰系統,81616.2,70928.2,60876.8
國1南向路段,湖口-竹北,81483.8,73479.4,74178.6
國3南向路段,鶯歌系統-大溪,80793.2,74998.6,68560
國1南向路段,三重-五股,79310,70949.2,80911.6
國1南向路段,中壢服務區-內壢,78398,68657.2,81382
國1北向路段,中壢服務區-機場系統,78125,74852.6,85228.4
國1南向路段,彰化-埔鹽系統,78109.2,67655.6,62408.6
國1南向路段,岡山-楠梓(旗楠路),77760.2,72420.6,76336.6
國1南向路段,機場系統-中壢服務區,77444.8,67910,81545
國1南向路段,埔鹽系統-員林,74638,64976,58178
國1南向路段,台南系統-永康,73582.8,70572.4,67595.8
國1南向路段,永康-大灣,72292.8,67686,70267.8
國1北向路段,新竹系統-新竹(園區二路),72204.4,80604.6,70422.8
國1南向路段,內壢-中壢,70955.2,60987.2,73712.4
國3南向路段,安坑-中和,70821.2,67586,70116.6
國1南向路段,中壢-平鎮系統,70746.4,62061.8,70003
國1南向路段,新竹系統-頭份,69352.2,55033,48808.8
國1南向路段,路竹-高科,67964.2,64871.2,65178.8
國1南向路段,高科-岡山,67795.6,64403.2,64589.6
國3南向路段,大溪-龍潭,67538.6,59678.4,50448.4
國1南向路段,大雅-台中,67439.6,57687.4,59953.8
國1南向路段,仁德系統-路竹,67429.6,64480.4,63357.6
國3南向路段,霧峰系統-草屯,67294,61135.4,51484.4
國1南向路段,瑞隆路出口匝道-五甲系統,66789.6,60034.6,70766.4
國1南向路段,員林-北斗,66151.8,57416,49604.4
國1南向路段,東湖-內湖,64986,60016.6,63904.4
國3南向路段,草屯-中興系統,64758,57919.2,47572.4
國1北向路段,五堵-大華系統,64216,58725,55339.4
國1南向路段,后里-台中系統,63286.4,54888,45730.6
國1南向路段,平鎮系統-幼獅,63119.2,56392.8,62222.6
國1南向路段,大華系統-五堵,63109.8,61489.4,54194.2
國1南向路段,台中-南屯,63077.6,54048,53262
國1南向路段,楠梓(旗楠路)-楠梓(鳳楠路),62636.6,58497,59252.4
國3南向路段,新竹系統-茄苳,61253,49131,51220.2
國1南向路段,頭份-頭屋,61081.8,48805.4,39059
國1南向路段,南屯-王田,60424.2,51046.2,50258.6
國1南向路段,安定-台南系統,60111.6,57577,51952.4
國1北向路段,楠梓(鳳楠路)-楠梓(旗楠路),60063,60992.6,57765
國1南向路段,西螺-虎尾,59698.8,52880.8,43299
國1南向路段,王田-彰化系統,59443,50604.8,47656.6
國3南向路段,關西服務區-關西,59378.6,50459.4,39460.4
國1南向路段,北斗-西螺,59333.6,51784,42456
國1南向路段,幼獅-楊梅,59317.4,53263,56345.6
國1南向路段,麻豆-安定,59007,57608.8,50309
國3南向路段,中投-霧峰,58642.2,49838.4,47302.8
國3南向路段,南港-南港系統,58121.4,53775.2,60480.2
國3南向路段,關西-竹林,58000.6,49244.2,39727.2
國3南向路段,茄苳-香山,57996.4,44787.4,45313.4
國1南向路段,虎尾-斗南,57903.6,51546,41734.8
國1南向路段,新竹(公道五路)-新竹(園區二路),57768.8,46519.4,43147.2
國1南向路段,斗南-雲林系統,57656,51469.8,42914
國3南向路段,中興系統-中興,57548.8,50979,41282.8
國1南向路段,銅鑼-三義,57429.6,48932.8,38020
國1南向路段,林口(文化一路)-林口(文化北路),57328.6,52035.6,55754.4
國1南向路段,苗栗-銅鑼,56329.2,46902.4,36971
國1南向路段,三義-后里,56248.8,48816.4,37138.8
國1南向路段,下營系統-麻豆,56208.2,55312.4,46528.4
國3南向路段,烏日-中投,55955.2,47247.2,46747.6
國1南向路段,頭屋-苗栗,55723.4,44686.2,34859.4
國3南向路段,和美-彰化系統,55602.4,46384.8,44073.8
國3南向路段,大甲-中港系統,55382.4,46344.8,39601.6
國1北向路段,麻豆-下營系統,55190,57887.8,46142.6
國1高架南向路段,泰山轉接道-機場系統,54863.6,50870.8,47030.2
國3南向路段,香山-西濱,54829,41381.8,37594.4
國3南向路段,快官-烏日,54667.4,46264.6,47285.8
國3南向路段,中興-南投,54111,47601.8,35832
國1南向路段,內湖-圓山,53719.6,48944.4,56614.4
國3南向路段,南港系統-木柵,53718,54203.6,56218
國1南向路段,雲林系統-大林,53641.8,48850.8,41248.8
國1北向路段,三義-銅鑼,53293.2,60884.6,39911.6
國1北向路段,虎尾-西螺,53235.8,59863,42647.4
國1南向路段,大林-民雄,53034.8,48436,41475.6
國1北向路段,雲林系統-斗南,52429.4,58345.2,42930.6
國1北向路段,斗南-虎尾,52345,58948,41708
國3南向路段,寶山-新竹系統,51902.4,41951,37823.2
國1南向路段,新營-下營系統,51340.2,50660,42367.2
國1北向路段,銅鑼-苗栗,51328.4,59542.8,38608
